R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
54,119.2,De'Anthony Melton,"PG,SG",PHI,72,30.9,0.427 (4.5/10.4),0.779 (1.3/1.6),2.4,12.6,4.8,5.1,1.7,0.6,1.7,3.06
55,66.6,Franz Wagner,"SG,SF,PF",ORL,78,33.1,0.486 (6.8/13.9),0.860 (3.6/4.2),1.7,18.8,4.6,3.6,1.1,0.3,2,3
56,67.5,Anfernee Simons,"PG,SG",POR,47,35,0.441 (8.3/18.9),0.891 (2.9/3.2),3.7,23.2,2.9,5.4,0.7,0.2,2.2,2.99
57,41.7,Evan Mobley,"PF,C",CLE,76,34.6,0.521 (6.5/12.5),0.682 (2.7/4.0),0.3,16,9.3,2.9,0.9,1.8,1.9,2.97
58,54,Nicolas Claxton,C,BKN,75,30,0.656 (5.0/7.5),0.572 (1.7/2.9),0,11.6,8.8,1.7,0.8,2.3,1.2,2.95
59,77.6,Ja Morant,PG,MEM,48,32.1,0.474 (9.6/20.2),0.754 (5.8/7.7),1.5,26.5,5.8,7.1,1.1,0.3,3.4,2.9
60,42.5,Jrue Holiday,"PG,SG",BOS,67,32.4,0.459 (5.3/11.6),0.808 (2.2/2.7),2,14.8,6.1,5.1,1.4,0.4,2.8,2.81
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
61,104.4,Onyeka Okongwu,C,ATL,76,26,0.655 (4.4/6.7),0.763 (2.2/2.8),0,11,8,1.2,0.8,1.5,1.2,2.79
62,90.4,Tobias Harris,"SF,PF",PHI,73,33.9,0.496 (7.7/15.5),0.856 (1.9/2.2),1.5,18.8,6.7,2.9,0.8,0.6,1.4,2.78
63,69,Devin Vassell,"SG,SF",SA,60,32,0.433 (6.5/15.1),0.823 (2.4/2.9),2.9,18.3,4.3,3.8,1.2,0.6,1.2,2.77
64,65.7,Jalen Williams,"SG,SF,PF",OKC,74,31.9,0.521 (5.9/11.2),0.811 (2.2/2.7),1,15,4.8,3.5,1.5,0.5,1.7,2.62
65,92.3,Mark Williams,C,CHA,70,28.4,0.637 (5.2/8.2),0.692 (2.2/3.2),0,12.6,9.9,0.6,0.9,1.4,1.3,2.5
66,134.9,Herbert Jones,"SF,PF",NO,69,32,0.473 (4.3/9.1),0.804 (2.2/2.8),1,11.8,4.8,2.8,1.7,1,1.6,2.35
67,100.8,Daniel Gafford,"PF,C",WAS,76,27,0.712 (5.0/7.0),0.690 (2.0/2.9),0,11.9,7.3,1.3,0.5,1.6,1.3,2.08
68,70.3,Cameron Johnson,"SF,PF",BKN,65,30,0.464 (5.2/11.2),0.848 (2.1/2.4),2.8,15.2,4.7,1.8,1.2,0.3,0.9,2.06
69,79.5,Terry Rozier,"PG,SG",CHA,68,33.2,0.430 (7.3/16.9),0.827 (2.4/2.8),2.8,19.6,4.1,4.6,1.2,0.3,1.7,2.06
70,,Dereck Lively II,C,DAL,65,26.1,0.620 (4.9/7.8),0.636 (1.0/1.6),0,10.8,8.2,2,0.7,1.5,1.1,2.06
71,94.7,Markelle Fultz,"PG,SG",ORL,60,29.6,0.506 (6.0/11.9),0.790 (1.9/2.4),0.4,14.4,4,6.2,1.5,0.4,2.5,2.02
72,29.2,Pascal Siakam,"PF,C",TOR,70,35,0.470 (7.6/16.2),0.770 (4.1/5.4),1.1,20.4,7.2,5.2,1,0.5,2.2,1.97
R#,ADP,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
